n	logs.Storm.vi-monoshifted	logs.Storm.vi-mono-mecqshifted	logs.Storm.vi-toposhifted	logs.Storm.vi-topo-mecqshifted	logs.Storm.ovi-monoshifted	logs.Storm.ovi-toposhifted	logs.Storm.svi-monoshifted	logs.Storm.svi-toposhifted	logs.Storm.ii-monoshifted	logs.Storm.ii-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.rs-mono-mecq-exactshifted	logs.Storm.pi-mono-gmresshifted	logs.Storm.pi-mono-gmres-diagprecondshifted	logs.Storm.pi-mono-gmres-noprecondshifted	logs.Storm.pi-mono-gmres-bicgstabshifted	logs.Storm.pi-mono-gmres-qmrshifted	logs.Storm.pi-mono-gmres-toposhifted	logs.Storm.pi-topo-gmresshifted	logs.Storm.pi-topo-gmres-monoshifted	logs.Storm.pi-mono-exactlushifted	logs.Storm.pi-mono-exactlu-toposhifted	logs.Storm.pi-topo-exactlushifted	logs.Storm.pi-topo-exactlu-monoshifted	logs.Storm.pi-mono-lushifted	logs.Storm.pi-topo-lushifted	logs.Storm.pi-mono-ovishifted	logs.Storm.pi-topo-ovishifted	logs.Storm.pi-mono-vishifted	logs.Storm.pi-topo-vishifted	logs.Storm.vi2pi-mono-gmresshifted	logs.Storm.vi2pi-mono-exactlushifted	logs.Storm.vi2pi-topo-gmresshifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2pi-topo-exactlu-monoshifted	logs.Storm.vi2pi-mono-exactlu-toposhifted	logs.Storm.lp-mono-gurobishifted	logs.Storm.lp-mono-gurobi-4autoshifted	logs.Storm.lp-mono-gurobi-4barriershifted	logs.Storm.lp-mono-gurobi-4dualsimplshifted	logs.Storm.lp-mono-gurobi-4primalsimplshifted	logs.Storm.lp-gurobi-8autoshifted	logs.Storm.lp-gurobi-16autoshifted	logs.Storm.lp-gurobi95-1autoshifted	logs.Storm.lp-gurobi95-4autoshifted	logs.Storm.lp-gurobi95-8autoshifted	logs.Storm.lp-gurobi95-16autoshifted	logs.Storm.lp-mono-gurobi-4autoeqshifted	logs.Storm.lp-mono-gurobi-4autoinitshifted	logs.Storm.lp-mono-gurobi-4autobndsshifted	logs.Storm.lp-mono-gurobi-4autoinitbndsshifted	logs.Storm.lp-topo-gurobi-4autoshifted	logs.Storm.lp-topo-gurobi-4autoeqshifted	logs.Storm.lp-topo-gurobi-4autoinitshifted	logs.Storm.lp-topo-gurobi-4autobndsshifted	logs.Storm.lp-topo-gurobi-4autoinitbndsshifted	logs.Storm.lp-topo-gurobishifted	logs.Storm.lp-topo-mecq-gurobishifted	logs.Storm.lp-topo-mecq-gurobi-4autoshifted	logs.Storm.lp-mono-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-gurobishifted	logs.Storm.vi2lp-mono-gurobishifted	logs.Storm.vi2lp-topo-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-mono-gurobi-4autoshifted	logs.Storm.vi2lp-mono-mecq-gurobi-4autoshifted	logs.Storm.lp-mono-soplex-exactshifted	logs.Storm.lp-mono-soplexshifted	logs.Storm.lp-mono-glpkshifted	logs.Storm.lp-mono-z3-exactshifted	logs.Storm.vi2lp-mono-soplex-exactshifted	logs.Storm.lp-topo-soplex-exactshifted	logs.Storm.lp-topo-soplexshifted	logs.Storm.lp-topo-glpkshifted	logs.Storm.lp-topo-z3-exactshifted	logs.Storm.vi2lp-topo-soplex-exactshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.Storm.vi-mono-bisim-sylvan1shifted	logs.Storm.vi2pi-topo-exactlu-bisim-sylvan1shifted	logs.Storm.vi-mono-bfsshifted	logs.Storm.vi-mono-reversebfsshifted	logs.Storm.vi-mono-rndshifted	logs.Storm.pi-mono-bfsshifted	logs.Storm.pi-mono-reversebfsshifted	logs.Storm.pi-mono-rndshifted	logs.Storm.lp-mono-bfsshifted	logs.Storm.lp-mono-reversebfsshifted	logs.Storm.lp-mono-rndshifted	logs.mcsta.vishifted	logs.mcsta.ovishifted	logs.mcsta.svishifted	logs.mcsta.iishifted	logs.mcsta.lp-copt-monoshifted	logs.mcsta.lp-copt-toposhifted	logs.mcsta.lp-cplex-monoshifted	logs.mcsta.lp-cplex-toposhifted	logs.mcsta.lp-glop-monoshifted	logs.mcsta.lp-glop-toposhifted	logs.mcsta.lp-gurobi-monoshifted	logs.mcsta.lp-gurobi-toposhifted	logs.mcsta.lp-highs-monoshifted	logs.mcsta.lp-highs-toposhifted	logs.mcsta.lp-lpsolve-monoshifted	logs.mcsta.lp-lpsolve-toposhifted	logs.mcsta.lp-mosek-monoshifted	logs.mcsta.lp-mosek-toposhifted	logs.mcsta.vi-p0shifted	logs.mcsta.vi-p1shifted	logs.mcsta.vi-p01shifted	logs.mcsta.vi-esshifted	logs.mcsta.vi-es-p01shifted	logs.mcsta.vi-mecqshifted	logs.mcsta.ovi-mecqshifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
10	13.613	9.807	13.076	11.461	11.241	13.178	11.341	17.249	11.734	12.556			309.602	438.642	409.542	48.34	326.9	467.431	530.985	381.848											17.903		72.282	55.64	16.915	291.36	68.674																												891.302														78.03899999999999	81.569	12.179	12.478	18.2804	555.886	476.735					9.8	14.0	22.7	22.9															9.6	9.6	9.6	10.1	10.1	9.8	11.6	3.565	4.7	6.4	3.0
11	13.671	12.843	14.693	12.077	13.253	14.722	17.063	31.069	12.213	16.23						64.954															21.032		74.163	225.813	23.95		127.97																																										159.83599999999998	128.528	13.312	14.494	19.5766							13.3	22.5	22.9	28.4															16.7	23.9	19.9	19.5	18.6	11.5	13.1	4.342	6.6	11.5	3.565
12	14.392	13.248	15.597	13.68	13.316	19.214	29.352	54.241	16.043	21.338						148.614															31.497		183.023	329.994	32.178		284.915																																										196.244	275.945	14.263	17.97	39.2164							19.3	25.0	26.5	88.9															21.4	24.1	23.1	21.0	21.8	13.2	16.0	6.558	9.6	13.1	4.342
13	29.745	20.812	49.076	20.098	24.524	44.498	50.839	62.037	21.851	48.277						265.832															61.883		354.409	488.153	69.966		514.881																																										198.291	284.301	31.745	25.444	72.2924							20.3	56.5	46.7	93.9															24.8	25.7	24.0	26.1	35.3	22.2	28.1	9.807	11.1	19.214	6.558
14	54.235	23.785	72.934	38.895	34.598	81.222	53.424	91.453	50.742	63.001																					69.904				70.555																																												326.428		50.267	56.536	108.92660000000001							21.8	66.1	842.5																29.0	37.4	37.4	41.5	60.9	24.3	30.0	11.241	13.3	22.2	6.6
15	56.995	24.56	74.975	69.828	55.187	89.199			77.233	97.569																					89.56				165.18																																												584.9799999999999		68.389	91.606	206.64540000000002							39.3	154.5																	37.6	55.3	55.3	55.7	77.3	49.1	53.4	12.857	18.6	23.661	9.6
16	59.428	58.179	91.03	76.559	82.568	128.206			155.021	155.567																					152.41				223.21																																														73.638	94.568	220.7654							51.9																		62.8	86.5	78.7	81.9	87.6	51.6	56.8	20.098	19.3	49.1	12.857
17	172.686	145.435	182.5	180.131	145.233	162.491			856.426	779.919																																																																							154.571	185.541	279.7832							74.7																		87.6	105.3	86.2			102.2	118.4	48.277	46.7	51.6	13.3
18																																																																																																																			145.233		102.2	46.7
19																																																																																																																						
20																																																																																																																						
21																																																																																																																						
22																																																																																																																						
23																																																																																																																						
24																																																																																																																						
25																																																																																																																						
26																																																																																																																						
27																																																																																																																						
28																																																																																																																						
29																																																																																																																						
30																																																																																																																						
31																																																																																																																						
32																																																																																																																						
33																																																																																																																						
34																																																																																																																						
35																																																																																																																						
36																																																																																																																						
37																																																																																																																						
38																																																																																																																						
39																																																																																																																						
40																																																																																																																						
41																																																																																																																						
42																																																																																																																						
43																																																																																																																						
44																																																																																																																						
45																																																																																																																						
46																																																																																																																						
47																																																																																																																						
